timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708944579237,96,GET Single User,200,OK,Worload Config 1-95,text,true,,1186,96,1,1,https://reqres.in/api/users/2,96,0,66
1708944579333,386,POST Register,201,Created,Worload Config 1-95,text,true,,905,204,1,1,https://reqres.in/api/users,386,0,0
1708944579738,93,GET Single User,200,OK,Worload Config 1-96,text,true,,1178,96,1,1,https://reqres.in/api/users/2,93,0,63
1708944579833,381,POST Register,201,Created,Worload Config 1-96,text,true,,897,204,1,1,https://reqres.in/api/users,381,0,0
1708944580238,104,GET Single User,200,OK,Worload Config 1-97,text,true,,1186,96,1,1,https://reqres.in/api/users/2,104,0,54
1708944580343,382,POST Register,201,Created,Worload Config 1-97,text,true,,897,204,1,1,https://reqres.in/api/users,382,0,0
1708944581428,93,GET Single User,200,OK,Worload Config 1-98,text,true,,1182,96,2,2,https://reqres.in/api/users/2,93,0,56
1708944581428,109,GET Single User,200,OK,Worload Config 1-99,text,true,,1186,96,2,2,https://reqres.in/api/users/2,109,0,56
1708944581736,82,GET Single User,200,OK,Worload Config 1-100,text,true,,1186,96,3,3,https://reqres.in/api/users/2,82,0,50
1708944581522,378,POST Register,201,Created,Worload Config 1-98,text,true,,897,204,3,3,https://reqres.in/api/users,378,0,0
1708944581537,381,POST Register,201,Created,Worload Config 1-99,text,true,,897,204,2,2,https://reqres.in/api/users,381,0,0
1708944581819,382,POST Register,201,Created,Worload Config 1-100,text,true,,893,204,1,1,https://reqres.in/api/users,382,0,0
1708944582237,93,GET Single User,200,OK,Worload Config 1-101,text,true,,1182,96,1,1,https://reqres.in/api/users/2,93,0,62
1708944582331,382,POST Register,201,Created,Worload Config 1-101,text,true,,893,204,1,1,https://reqres.in/api/users,382,0,0
1708944582737,88,GET Single User,200,OK,Worload Config 1-102,text,true,,1186,96,1,1,https://reqres.in/api/users/2,88,0,54
1708944582826,380,POST Register,201,Created,Worload Config 1-102,text,true,,901,204,1,1,https://reqres.in/api/users,380,0,0
1708944583237,85,GET Single User,200,OK,Worload Config 1-103,text,true,,1178,96,1,1,https://reqres.in/api/users/2,85,0,54
